fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse,decay_km
3,PRECTOTCORR,idw_residual,81224,0.5423868123495986,2.8359458683862706,9.472149451215397,0.26804923504830075,-3.4798084767126634,0.7465650546636462,0.7433271974229176,0.7396332863187588,0.23888929971160244,2.8549240681086054,20.678289052622908,75.0
4,PRECTOTCORR,idw_residual,78968,-0.23439889670161745,3.1685845911084654,10.275999479500397,0.17849595338319021,-5.356022119501624,0.7773781785026846,0.6575960794428682,0.7453555733120256,0.22483354645266546,2.582409079184937,22.494169608666127,75.0
5,PRECTOTCORR,idw_residual,71589,0.3910957021928956,4.348267583670959,17.64603859269683,0.14576305735484335,-14.442640556002,0.7766416628252943,0.6252559726962458,0.7430575035063114,0.22265435099659697,2.4334470989761092,47.701571397695176,75.0
1,PRECTOTCORR,idw_residual,81816,-0.4991052946631971,3.3845817966440515,13.655453088850466,0.08937394995112664,-12.265519127652308,0.7889532609758483,0.6044321329639889,0.7675632490013315,0.201747492025334,2.600415512465374,23.004187990157217,100.0
2,PRECTOTCORR,idw_residual,81576,0.5763440813094011,3.5539821039926984,15.520239533168768,0.1684302657559979,-13.154778484719811,0.7735731097381583,0.651824034334764,0.7656136966481794,0.2083065449402083,2.7809817596566524,50.68224298323963,100.0
3,PRECTOTCORR,idw_residual,81224,0.5411110600923649,2.8607521428490856,9.537864083174563,0.2659983578302903,-3.5421829469060624,0.746823598936275,0.7429820524620341,0.7394707116346619,0.2389904522241137,2.8518177634606534,20.849736067470634,100.0
4,PRECTOTCORR,idw_residual,78968,-0.2606233263401195,3.188947415359957,10.342497511962064,0.17591769254733233,-5.438550448556095,0.778441900516665,0.6563064224916172,0.7445281124497992,0.22532654416648218,2.5689966468919265,22.522277453033073,100.0
5,PRECTOTCORR,idw_residual,71589,0.4228695593708161,4.361486903118534,17.656519617960775,0.14926846602162724,-14.46099059785383,0.7766556314517593,0.6277133105802047,0.7425531914893617,0.22334482926118424,2.4382252559726965,48.33339363326071,100.0
1,PRECTOTCORR,idw_residual,81816,-0.4642500430340987,3.4095458099893747,13.493358547020636,0.0927660066745624,-11.952456492591963,0.7886476972719273,0.6056786703601108,0.7676161122329684,0.201846295868913,2.606371191135734,23.3856553254839,150.0
2,PRECTOTCORR,idw_residual,81576,0.6099829740602736,3.5446212218449578,15.590061088536375,0.16951828263875293,-13.282422355221586,0.7750441306266549,0.6528969957081545,0.7640443992050797,0.20965588526637668,2.7670332618025753,51.05797305667139,150.0
3,PRECTOTCORR,idw_residual,81224,0.5393212124653328,2.890109747247713,9.618462919160452,0.26357556468864435,-3.619273892977585,0.7465896779277061,0.7393005062126093,0.7402901830820838,0.23792069310229924,2.8466405890474,21.056650236535823,150.0
4,PRECTOTCORR,idw_residual,78968,-0.28755092562544077,3.211449711739879,10.417711863739319,0.1731931952665105,-5.5325378622286845,0.779492959173336,0.6561774567964921,0.7434837408621124,0.22612328340962623,2.5580345628062937,22.509651433092618,150.0
5,PRECTOTCORR,idw_residual,71589,0.45575712090107384,4.3847338811264125,17.71206095205354,0.15261907240160003,-14.558413497492433,0.776795317716409,0.6294880546075086,0.7420563884537928,0.223943661971831,2.4404095563139934,49.08490063812654,150.0
1,PRECTOTCORR,idw_residual,81816,-0.4445761589943667,3.424665548158544,13.426333007176789,0.0945039345742086,-11.82409864646299,0.7879999022196148,0.6048476454293629,0.7684394718701946,0.20113301400147385,2.6120498614958447,23.62338603667779,200.0
