fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
1,PRECTOTCORR,linear_stack,5345,0.5601506296180045,0.6233845119739732,0.7308357929102877,0.395205852897325,-1.1943724042497514,0.07782974742750234,1.0,0.9232065929949429,0.07679340700505713,13.021951219512195,1.4332559412867034
1,PRECTOTCORR,ml_two_stage,5345,0.20894450626382427,0.2830699342523809,0.522080179800235,0.40775209105945703,-0.11981202620359532,0.5936389148737138,0.9902439024390244,0.8422688422688422,0.15748642358417378,6.278048780487805,1.3378409845582384
2,PRECTOTCORR,raw_nasa,3423,24.843420975752263,24.999336839030093,45.901902601424005,0.28872531922485234,-508.43203305339824,0.9366053169734151,0.9786200194363459,0.047604035308953345,0.932983323038913,1.0275348234531907,48.69073192581621
2,PRECTOTCORR,anchor_idw_bmd,2896,-0.003846376368156713,1.0018472791050517,1.832295486685356,0.44066552989261204,0.02146911453360756,0.9150552486187845,0.9350303951367781,0.029574132492113565,0.9091244920576284,0.9635258358662614,1.9604433420442842
2,PRECTOTCORR,global_month_hour_bias,3423,0.794475736975559,21.938299926717736,37.16986989886224,0.26196154479965084,-333.0465245366775,0.4049079754601227,0.3485584710074506,0.023593466424682397,0.34564728557661417,0.3569808875931325,60.32129152413014
2,PRECTOTCORR,idw_residual,3423,2.5029634167165944,9.770737358865302,20.758648700893186,0.09706971701397385,-103.18927942405139,0.6202161846333626,0.60932944606414,0.04759493670886076,0.5913234831813895,0.6397797214123745,24.12908054612709
2,PRECTOTCORR,linear_stack,3423,-0.17711326905918334,0.8888451156853775,1.8667816943021918,0.40640355485907104,0.15741845467458904,0.932223196026877,0.9867184969225785,0.059005251776336115,0.9292251372788286,1.0485908649173956,1.9735202897182198
2,PRECTOTCORR,ml_two_stage,3423,-0.2642904858612301,0.8460227567303139,1.85902590649627,0.4407462059199537,0.16440514056479905,0.9421560035056967,0.9718172983479106,0.03567984570877531,0.9380863039399625,1.0077745383867833,1.97275167629936
3,PRECTOTCORR,raw_nasa,3719,27.34197095993547,27.481874159720356,59.03055715797782,0.25132043476525406,-1025.196726395086,0.9179887066415703,0.9765886287625418,0.06627906976744186,0.9132783622405459,1.0459106111280025,63.04379008371524
3,PRECTOTCORR,anchor_idw_bmd,3070,0.10935805140942721,1.1742116579755286,2.153805079461515,0.3060214201206408,-0.4347105721774278,0.9407166123778502,0.971820809248555,0.03722261989978525,0.9366295264623955,1.009393063583815,2.2576018369709088
3,PRECTOTCORR,global_month_hour_bias,3719,4.451132899929907,24.659599188260756,51.17945169697792,0.2223421782965028,-770.3795443367287,0.42538316751815003,0.36910915171784736,0.048589341692789965,0.3622799164428529,0.3879598662207358,85.23625019303664
3,PRECTOTCORR,idw_residual,3719,1.1745723920065296,14.446730410471018,39.40275587621882,0.0644704984451036,-456.2250922527503,0.5762301694003764,0.567649741562785,0.07619990103908957,0.5422596572756317,0.6144724840377014,40.46571700132729
3,PRECTOTCORR,linear_stack,3719,-0.19480474979621432,0.9570866539812949,1.7954378360217063,0.34178751557678005,0.05066912350204544,0.9034686743748319,0.9662511401641837,0.07238762405137186,0.8985015549901046,1.0416539981757373,1.9241314147065571
3,PRECTOTCORR,ml_two_stage,3719,-0.29111405169112947,0.8945908128454243,1.714729629816996,0.3988556961092642,0.13409915197966527,0.9158375907502017,0.9607783520826999,0.05502392344497608,0.9098761877339476,1.0167224080267558,1.7262606090622772
4,PRECTOTCORR,raw_nasa,3623,28.96389456251725,29.102602815346398,53.63620898050791,0.2688532564894382,-541.9915043089401,0.9445211150979851,0.9804334738109572,0.04008252284114353,0.941873915558126,1.0213726670680312,56.4123071074381
