station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
chandpur,5.0,365,65,2866,8392,0.8488372093023255,0.8870318786753327,0.11074029126213593,7.513953488372093,0.7492299794661191
chandpur,10.0,184,62,2003,9439,0.7479674796747967,0.9158664837677183,0.08181413961760782,8.890243902439025,0.8233230663928816
chandpur,25.0,49,29,855,10755,0.6282051282051282,0.9457964601769911,0.05251875669882101,11.58974358974359,0.9243668720054757
chittagong,0.1,1309,9,4801,5569,0.9931714719271624,0.7857610474631751,0.21392384376532114,4.635811836115327,0.588466803559206
chittagong,5.0,491,66,3079,8052,0.881508078994614,0.8624649859943978,0.13503850385038504,6.409335727109515,0.7309206023271732
chittagong,10.0,273,57,2344,9014,0.8272727272727273,0.8956820787160871,0.10209424083769633,7.930303030303031,0.7945756331279945
chittagong,25.0,93,37,1191,10367,0.7153846153846154,0.927570093457944,0.07040121120363362,9.876923076923077,0.8949349760438056
chuadanga,0.1,813,18,5035,5822,0.9783393501805054,0.8609781121751026,0.13859529491987727,7.037304452466907,0.5676762491444216
chuadanga,5.0,245,74,2260,9109,0.768025078369906,0.9021956087824351,0.09499806126405584,7.852664576802508,0.8003080082135524
chuadanga,10.0,101,68,1401,10118,0.5976331360946746,0.9327563249001332,0.0643312101910828,8.887573964497042,0.874315537303217
chuadanga,25.0,23,24,475,11166,0.48936170212765956,0.9538152610441767,0.044061302681992334,10.595744680851064,0.9573066392881588
comilla,0.1,1133,37,5160,5358,0.9683760683760684,0.8199586842523439,0.17898894154818326,5.378632478632479,0.5553559206023272
comilla,5.0,338,67,2858,8425,0.8345679012345679,0.8942428035043805,0.10358565737051793,7.891358024691358,0.7497433264887063
comilla,10.0,178,54,1990,9466,0.7672413793103449,0.9178966789667896,0.08010801080108011,9.344827586206897,0.8251197809719371
comilla,25.0,45,39,910,10694,0.5357142857142857,0.9528795811518325,0.04527162977867203,11.369047619047619,0.9188056125941136
