station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
rangamati,25.0,76,9,2712,8891,0.8941176470588236,0.9727403156384505,0.027171969967822666,32.8,0.7671971252566735
rangpur,0.1,1107,10,4890,5681,0.991047448522829,0.815407703851926,0.18428500083236224,5.3688451208594445,0.580766598220397
rangpur,5.0,352,21,3718,7597,0.9436997319034852,0.9135135135135135,0.08604253238816915,10.911528150134048,0.6800992470910335
rangpur,10.0,192,24,3198,8274,0.8888888888888888,0.9433628318584071,0.056239015817223195,15.694444444444445,0.7243326488706365
rangpur,25.0,69,8,2196,9415,0.8961038961038961,0.9695364238410596,0.030356357237131544,29.415584415584416,0.8114305270362765
sandwip,0.1,1462,4,5445,4777,0.9972714870395635,0.7883306790212827,0.2115468094342353,4.711459754433833,0.5337953456536618
sandwip,5.0,567,16,4408,6697,0.9725557461406518,0.8860301507537689,0.11360448807854137,8.533447684391081,0.621492128678987
sandwip,10.0,354,18,3936,7380,0.9516129032258065,0.9174825174825175,0.08217270194986072,11.53225806451613,0.6617043121149897
sandwip,25.0,133,12,2917,8626,0.9172413793103448,0.9563934426229508,0.0434356629653821,21.03448275862069,0.7494010951403148
satkhira,0.1,1125,7,5307,5249,0.9938162544169611,0.8250932835820896,0.17471657089610187,5.681978798586573,0.5453456536618754
satkhira,5.0,348,23,4151,7166,0.9380053908355795,0.9226494776617026,0.07695709862892526,12.126684636118599,0.6428815879534565
satkhira,10.0,186,20,3543,7939,0.9029126213592233,0.9501206757843926,0.04961323019471859,18.101941747572816,0.6951574264202601
satkhira,25.0,63,10,2228,9387,0.863013698630137,0.9725010912265386,0.027379400260756193,31.383561643835616,0.8085215605749486
sitakunda,0.1,863,6,5714,5105,0.9930955120828538,0.8687851604074807,0.13109524532887742,7.568469505178366,0.5106091718001369
sitakunda,5.0,611,41,3890,7146,0.9371165644171779,0.8642523883581427,0.13452223690004403,6.903374233128834,0.6636721423682409
sitakunda,10.0,372,49,3325,7942,0.8836104513064132,0.8993778739518529,0.0993059263214095,8.78147268408551,0.7113278576317591
sitakunda,25.0,83,33,2354,9218,0.7155172413793104,0.9659417316372589,0.03360323886639676,21.00862068965517,0.7957734428473648
srimangal,0.1,1198,20,5464,5006,0.9835796387520526,0.8201741218853197,0.1792876384316073,5.469622331691297,0.5308008213552361
srimangal,5.0,441,36,4337,6874,0.9245283018867925,0.9077019673503558,0.09160781055255504,10.016771488469601,0.6258555783709788
srimangal,10.0,262,38,3909,7479,0.8733333333333333,0.93718532725965,0.062247564742219055,13.903333333333334,0.6623032169746749
srimangal,25.0,87,12,2956,8633,0.8787878787878788,0.9714097929674663,0.028477905073649754,30.737373737373737,0.7460643394934976
sydpur,0.1,925,15,5200,5548,0.9840425531914894,0.8489795918367347,0.15065146579804561,6.51595744680851,0.5538158795345653
sydpur,5.0,333,25,3805,7525,0.9301675977653632,0.9195263412276462,0.07999039154455921,11.558659217877095,0.6723134839151266
sydpur,10.0,205,20,3223,8240,0.9111111111111111,0.940198366394399,0.05945475638051044,15.235555555555555,0.7225359342915811
sydpur,25.0,58,12,2335,9283,0.8285714285714286,0.975762641036356,0.024116424116424118,34.18571428571428,0.7991957563312799
sylhet,0.1,349,0,6408,4931,1.0,0.9483498594050614,0.05165014059493858,19.361031518624642,0.4517453798767967
sylhet,5.0,164,5,4698,6821,0.9704142011834319,0.9662690250925545,0.0336963221697144,28.76923076923077,0.597621492128679
