source_file,wmo_stations,decoded_rows,nil_rows,parse_skipped
data\raw\ground_ogimet\ogimet_getsynop_Bang_202302170000_202302232359.csv,34,1594,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202302240000_202303022359.csv,34,1694,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202303030000_202303092359.csv,34,1713,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202303100000_202303162359.csv,34,1725,3,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202303170000_202303232359.csv,47,1604,2,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202303240000_202303302359.csv,47,2080,147,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202303310000_202304062359.csv,47,2006,107,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202304070000_202304132359.csv,47,2081,104,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202304140000_202304202359.csv,47,1940,118,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202304210000_202304272359.csv,47,2069,114,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202304280000_202305042359.csv,47,2070,126,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202305050000_202305112359.csv,47,1938,118,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202305120000_202305182359.csv,47,2108,93,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202305190000_202305252359.csv,47,2102,121,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202305260000_202306012359.csv,47,2076,100,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202306020000_202306082359.csv,47,2082,90,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202306090000_202306152359.csv,47,1971,105,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202306160000_202306222359.csv,47,1972,83,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202306230000_202306292359.csv,47,2059,109,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202306300000_202307062359.csv,47,2103,108,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202307070000_202307132359.csv,47,1931,49,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202307140000_202307202359.csv,47,1706,15,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202307210000_202307272359.csv,47,2069,61,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202307280000_202308032359.csv,47,2086,78,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202308040000_202308102359.csv,47,1720,76,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202308110000_202308172359.csv,47,2050,96,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202308180000_202308242359.csv,47,2117,89,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202308250000_202308312359.csv,47,2091,93,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202309010000_202309072359.csv,47,2082,73,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202309080000_202309142359.csv,47,1971,77,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202309150000_202309212359.csv,47,2157,78,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202309220000_202309282359.csv,47,2106,99,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202309290000_202310052359.csv,47,2093,83,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202310060000_202310122359.csv,47,2154,64,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202310130000_202310192359.csv,47,2145,68,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202310200000_202310262359.csv,47,1904,90,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202310270000_202311022359.csv,47,2010,84,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202311030000_202311092359.csv,47,2053,115,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202311100000_202311162359.csv,47,2132,79,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202311170000_202311232359.csv,47,2080,109,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202311240000_202311302359.csv,47,2103,88,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202312010000_202312072359.csv,47,2084,114,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202312080000_202312142359.csv,47,1992,105,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202312150000_202312212359.csv,47,2077,100,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202312220000_202312282359.csv,47,2063,98,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202312290000_202401042359.csv,47,2091,119,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202401050000_202401112359.csv,47,2061,100,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202401120000_202401182359.csv,47,2098,124,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202401190000_202401252359.csv,47,2082,104,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202401260000_202402012359.csv,47,2094,96,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202402020000_202402082359.csv,47,2104,106,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202402090000_202402152359.csv,47,2068,144,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202402160000_202402222359.csv,47,2066,96,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202402230000_202402292359.csv,47,2106,88,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202403010000_202403072359.csv,47,2116,103,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202403080000_202403142359.csv,47,1679,102,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202403150000_202403212359.csv,47,2108,101,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202403220000_202403282359.csv,47,1915,92,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202403290000_202404042359.csv,47,1833,134,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202404050000_202404112359.csv,47,517,90,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202404120000_202404182359.csv,47,2080,93,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202404190000_202404252359.csv,47,2090,121,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202404260000_202405022359.csv,47,2027,99,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202405030000_202405092359.csv,47,2110,87,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202405100000_202405162359.csv,47,2106,110,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202405170000_202405232359.csv,47,2090,91,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202405240000_202405302359.csv,47,2057,146,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202405310000_202406062359.csv,47,1499,99,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202406070000_202406132359.csv,47,2130,84,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202406140000_202406202359.csv,47,2095,106,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202406210000_202406272359.csv,47,2163,97,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202406280000_202407042359.csv,47,2121,84,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202407050000_202407112359.csv,47,2137,90,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202407120000_202407182359.csv,47,2009,90,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202407190000_202407252359.csv,47,522,122,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202407260000_202408012359.csv,47,1151,154,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202408020000_202408082359.csv,47,1793,187,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202408090000_202408152359.csv,47,2035,94,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202408160000_202408222359.csv,47,2028,108,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202408230000_202408292359.csv,47,2060,121,0
