split,variable,horizon_bucket,candidate,n,bias,mae,rmse,pearson_r,brier,pod,far,csi,wet_amount_rmse,interval_coverage_90,weighted_interval_score
validation_2023,PRECTOTCORR,27-48,hist_gradient_direct,7635,0.28482701180851056,1.4848465234281711,4.732569888227448,0.13950691263756856,0.07801716951964657,0.6716621253405994,0.7555775904809122,0.2183348095659876,13.413797110538678,0.9346430910281598,0.8079717183012886
validation_2023,PRECTOTCORR,27-48,nasa_daily_seasonal,7635,8.217368696791095,8.895270464963982,19.87165774527918,0.1168643278912149,0.45618860510805503,0.944141689373297,0.8324062877871826,0.16594827586206898,26.800261992322813,,
validation_2023,PRECTOTCORR,51-72,hist_gradient_direct,5116,0.6036945039488008,1.7808500931379625,4.639204026192385,0.1352117445570867,0.08278324610046678,0.6811023622047244,0.7899210686095932,0.19126589275843006,11.715517302791794,0.9261141516810008,0.856493531867475
validation_2023,PRECTOTCORR,51-72,nasa_daily_seasonal,5116,8.199208365910867,9.044634480062548,20.05643690385564,0.0535459279977711,0.4796716184519156,0.8208661417322834,0.85,0.1452455590386625,25.71397575562113,,
validation_2023,PRECTOTCORR,75-96,hist_gradient_direct,5120,0.16670810112299433,1.4851816682052532,4.3405223915866875,0.16883851046449713,0.09220865638699155,0.581787521079258,0.7167487684729064,0.23533424283765347,10.858294416766013,0.9267578125,0.8773338624879793
validation_2023,PRECTOTCORR,75-96,nasa_daily_seasonal,5120,8.17608203125,9.02715234375,19.909134571221323,0.08463827156822695,0.4697265625,0.8381112984822934,0.82287954383464,0.17126119917298416,26.14721306576745,,
spatial_temporal_test_2024,PRECTOTCORR,0-24,hist_gradient_direct,2782,0.2227117550550635,1.5835615290096436,5.6750492599473255,0.25017822659012967,0.07709711859673245,0.6013986013986014,0.7024221453287197,0.24855491329479767,19.332034018772234,0.9108554996405464,1.1208622177619427
spatial_temporal_test_2024,PRECTOTCORR,0-24,nasa_daily_seasonal,2782,10.904726815240833,11.601563623292595,30.27617611269939,0.16128825828800783,0.5276779295470885,0.9090909090909091,0.8472385428907168,0.15046296296296297,49.66106398531798,,
spatial_temporal_test_2024,PRECTOTCORR,27-48,hist_gradient_direct,1617,0.3605680995130649,1.4232959295479235,4.333824871184698,0.26430510297253096,0.0738503149282583,0.69375,0.7189873417721518,0.25,13.91892812722754,0.935064935064935,0.7873433924128291
spatial_temporal_test_2024,PRECTOTCORR,27-48,nasa_daily_seasonal,1617,10.82168831168831,11.451125541125542,29.950173669693044,0.0804649372053398,0.5293753865182437,0.91875,0.8515151515151516,0.1465603190428714,46.23054796675162,,
spatial_temporal_test_2024,PRECTOTCORR,51-72,hist_gradient_direct,1077,0.9136360211197894,1.7660486126944164,4.226318486032002,0.18062617801527875,0.07667827357193073,0.7281553398058253,0.7813411078717201,0.20215633423180593,11.615702293926455,0.9099350046425255,0.8156862118174241
