split,variable,horizon_bucket,candidate,n,bias,mae,rmse,pearson_r,brier,pod,far,csi,wet_amount_rmse
spatial_temporal_test_2024,PRECTOTCORR,51-72,nasa_daily_seasonal,577,12.772443674176776,13.860831889081453,36.10398454224533,0.040278080676955576,0.49740034662045063,0.9487179487179487,0.7927170868347339,0.20498614958448755,42.4722898217497
spatial_temporal_test_2024,PRECTOTCORR,75-96,chronos-2_plus_month_hour_bias,577,2.32700934622482,3.6356285156947488,8.916383600580389,0.10289616287933816,0.42114384748700173,0.5555555555555556,0.86,0.12589928057553956,15.769168118238259
spatial_temporal_test_2024,PRECTOTCORR,75-96,nasa_persistence,577,9.483951473136914,10.257677642980937,20.976730030511515,0.09574482596394711,0.5285961871750433,0.9841269841269841,0.8306010928961749,0.16893732970027248,32.730511931381734
spatial_temporal_test_2024,PRECTOTCORR,75-96,nasa_daily_seasonal,577,12.989254766031195,13.67681109185442,35.99969730279058,0.0742875786223876,0.5268630849220104,0.9206349206349206,0.8375350140056023,0.16022099447513813,37.91539360752824
spatial_temporal_test_2024,WS10M,0-24,chronos-2_plus_month_hour_bias,1228,-0.3082443763378777,1.297442684158052,2.1499110835405006,0.5129219496566518,,,,,
spatial_temporal_test_2024,WS10M,0-24,nasa_persistence,1228,1.0348208469055376,1.8654723127035833,2.46740701833662,0.4555805712076235,,,,,
spatial_temporal_test_2024,WS10M,0-24,nasa_daily_seasonal,1228,0.9758306188925081,1.966351791530945,2.6577609297318525,0.2637793057713892,,,,,
spatial_temporal_test_2024,WS10M,27-48,chronos-2_plus_month_hour_bias,921,-0.16946103661637615,1.3574078386303656,2.0204323134351623,0.37828491042392526,,,,,
spatial_temporal_test_2024,WS10M,27-48,nasa_persistence,921,1.0929098805646036,1.9849619978284474,2.568508166612362,0.2501672427861777,,,,,
spatial_temporal_test_2024,WS10M,27-48,nasa_daily_seasonal,921,1.0339196525515744,1.9401520086862107,2.4321546235633824,0.2511886257410786,,,,,
spatial_temporal_test_2024,WS10M,51-72,chronos-2_plus_month_hour_bias,616,-0.24106224738158183,1.2529041898095763,1.8381624394599698,0.2861448162601412,,,,,
spatial_temporal_test_2024,WS10M,51-72,nasa_persistence,616,1.3624675324675324,2.0190259740259737,2.5376473151531314,0.23575500179872796,,,,,
spatial_temporal_test_2024,WS10M,51-72,nasa_daily_seasonal,616,1.3001298701298702,1.9977272727272726,2.4700040748691348,0.1509018496770904,,,,,
spatial_temporal_test_2024,WS10M,75-96,chronos-2_plus_month_hour_bias,614,-0.10240432004586877,1.1783560647560642,1.737651268324299,0.29725867756309304,,,,,
spatial_temporal_test_2024,WS10M,75-96,nasa_persistence,614,1.518957654723127,2.048371335504886,2.5739999164787424,0.25499505893044705,,,,,
spatial_temporal_test_2024,WS10M,75-96,nasa_daily_seasonal,614,1.4622801302931594,2.0163192182410423,2.4827437013604428,0.19200136590442055,,,,,
